Employee_ID,Age,Salary,Years_Experience,Job_Satisfaction,Overtime,Performance_Rating,Attrition
1,25,30000,1,2,Yes,3,Yes
2,32,50000,5,4,No,4,No
3,28,35000,2,3,Yes,3,Yes
4,45,80000,15,5,No,5,No
5,29,40000,3,2,Yes,2,Yes
6,41,75000,12,4,No,4,No
7,23,28000,1,1,Yes,2,Yes
8,36,62000,8,4,No,4,No
9,31,52000,6,3,Yes,3,No
10,27,33000,2,2,Yes,2,Yes
11,39,68000,10,5,No,5,No
12,26,31000,1,1,Yes,2,Yes
13,34,58000,7,4,No,4,No
14,30,45000,4,3,Yes,3,Yes
15,42,79000,14,5,No,5,No
16,24,29000,1,2,Yes,2,Yes
17,37,64000,9,4,No,4,No
18,33,54000,6,3,No,3,No
19,28,36000,2,2,Yes,2,Yes
20,46,85000,18,5,No,5,No
21,27,34000,2,1,Yes,2,Yes
22,35,60000,8,4,No,4,No
23,40,72000,11,5,No,5,No
24,29,39000,3,2,Yes,3,Yes
25,38,67000,10,4,No,4,No
26,26,32000,1,1,Yes,2,Yes
27,43,78000,15,5,No,5,No
28,31,51000,5,3,No,3,No
29,25,30000,1,2,Yes,2,Yes
30,44,81000,16,5,No,5,No
31,28,37000,3,2,Yes,3,Yes
32,36,63000,8,4,No,4,No
33,41,74000,12,5,No,5,No
34,30,46000,4,3,Yes,3,Yes
35,39,69000,10,4,No,4,No
36,24,28000,1,1,Yes,2,Yes
37,45,83000,17,5,No,5,No
38,33,55000,6,3,No,3,No
39,27,35000,2,2,Yes,2,Yes
40,42,76000,13,5,No,5,No
41,29,41000,3,2,Yes,3,Yes
42,37,65000,9,4,No,4,No
43,26,31000,1,1,Yes,2,Yes
44,40,71000,11,5,No,5,No
45,32,53000,5,3,No,3,No
46,25,29500,1,2,Yes,2,Yes
47,43,79000,14,5,No,5,No
48,34,59000,7,4,No,4,No
49,28,36000,2,2,Yes,2,Yes
50,46,86000,18,5,No,5,No
